spr
0.673125
0.625185
0.63229
0.559399
0.493143
0.493228
0.377277
0.496389
0.458261
0.3857
0.442794
0.424844
0.527121
0.526916
0.438842
0.548657
0.437826
0.498222
0.449197
0.417586
0.453308
0.434962
0.515768
