"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"17",0.999999636363636,0.998177090909091,0.999818181818182,0.999230727272727,1,0.999999818181818,0.999203090909091,1,0.999914909090909,0.970546727272727
"18",1,0.998654909090909,1,0.999994727272727,0,0.999042545454545,1,1,0.999996181818182,0.997431636363636
"19",0.99927,0.999435272727273,1,0.998675818181818,0.999249272727273,0.999966181818182,0.859099454545455,0.999046,1,0.999960727272727
"20",0.999999818181818,0.999234727272727,1,0.999999818181818,0.983154909090909,0.998601454545455,0.999968363636364,0.999998545454545,1,1
"21",1,0.999158727272727,0.999998909090909,0.999999818181818,0.999635090909091,0.992987272727273,0.999999636363636,1,1,1
"22",1,1,0.999972545454546,0.345242,0.902546,0.999998727272727,0.999999636363636,0.99898,0.999635454545455,1
"23",1,0.999813454545455,1,0.999979272727273,0.999631090909091,0.998854181818182,0.999991818181818,1,0.999992545454545,0.997596909090909
"24",0.999797818181818,0.998498909090909,1,0.999993818181818,0.998697818181818,0.960934727272727,0.999998,0.999229272727273,0.999999636363636,1
"25",0.999999818181818,0.996708181818182,1,0.999992727272727,1,0.999999818181818,0.999759272727273,0.987304545454545,0.999972181818182,0.999809454545455
"26",0.999787818181818,0.999818181818182,1,0.999932181818182,0.0387272727272727,1,1,0.999999090909091,0.999700363636364,1
"27",1,1,0.999971636363636,0.999981454545455,0.99955,0.634616363636364,1,0.999981636363636,0.999611454545455,0.999991636363636
"28",1,0.996298545454545,0.999997636363636,1,1,0.997548,0.995796727272727,0.992216181818182,0.999818181818182,1
"29",1,0.999999818181818,0.998160909090909,0.999818181818182,1,0.999762363636364,0.973598909090909,0.993800727272727,1,1
"30",0.999998909090909,0.999763636363636,0.993071818181818,0.998656909090909,0.999603090909091,1,1,1,0.999870181818182,1
"31",1,0.999818181818182,1,0.997518909090909,0.962863454545455,0.999980181818182,1,0.962888,0.982362363636364,1
"32",1,0.999784727272727,0.925774545454545,1,1,1,1,1,0.999532363636364,0.522919272727273
"33",0.999761090909091,0.998893818181818,0.999798363636364,0.992092363636364,1,1,0.999682727272727,0.998434727272727,0.999991636363636,0.999716545454545
"34",0.999544727272727,0.999996,0.978011636363636,0.999026545454546,0.999993272727273,0.999439090909091,0.999451636363636,0.999818181818182,1,0.999710727272727
"35",0.999008545454545,1,0.999453454545455,1,0.999941636363636,0.950593454545455,0.998465636363636,1,1,0.999877454545455
"36",0.999272181818182,1,1,0.997152181818182,0.892546727272727,0.955085454545455,0.999974727272727,0.999750545454545,0.999736181818182,0.991194
"37",0.999068181818182,0.999593636363636,0.999993818181818,1,NA,NA,NA,NA,NA,NA
"38",0.999999818181818,0.999977454545455,0.828002545454545,0.998152909090909,1,0.999996909090909,0.997982545454545,1,0.999999454545455,0.999747272727273
"39",1,1,1,0.999400181818182,0.998963454545455,0.999999818181818,1,1,0.591604181818182,0
"40",0.999810545454546,0.999998363636364,0.999999636363636,1,0.999202545454545,1,1,0.999937818181818,0.999158727272727,0.891258181818182
"41",0.999998727272727,0.999818181818182,1,0.999999272727273,1,0.999993090909091,0.998494,0.999816909090909,0.999994727272727,0.999988909090909
"42",1,0.999818181818182,0.999635272727273,0.999771272727273,1,0.999953636363636,0.338360727272727,1,1,1
"43",1,0.997459090909091,1,1,0.999999818181818,0.999319272727273,0.999818181818182,0.998093454545455,0.999967636363636,0.715879818181818
"44",1,0.999993636363636,0.987171454545455,1,1,0.999798181818182,0.999999818181818,0.999989272727273,0.999811454545455,1
"45",1,1,0.999759090909091,1,1,1,0.999946909090909,0.353158363636364,0.455997818181818,1
"46",1,1,0.999818,1,0.997613272727273,0.790717636363636,0.999780363636364,0.999994,0.999997454545455,0.999994727272727
"47",1,0.997879454545455,0.999024545454545,1,1,0.999966909090909,0.996074181818182,0.796019090909091,0.999803272727273,1
"48",0.999999818181818,0.995070363636364,0.999999454545455,0.999998909090909,0.999952363636364,0.682532727272727,0.999992727272727,1,0.999814,0.999999454545455
"49",1,0.999112909090909,0.999818181818182,0.999999818181818,0.991389090909091,0.999816363636364,0.999999090909091,0.999995454545455,0.999815818181818,1
"50",0.999769818181818,0.999786909090909,0.999984363636364,0.999383636363636,1,0.990590181818182,1,0.995774181818182,1,0.999990909090909
"51",1,1,0.999983636363636,0.190522909090909,0.999636,0.999818181818182,0.990884181818182,0.999427818181818,0.999814363636364,1
"52",0.999759272727273,1,0.999999272727273,1,0.998934,0,0.999999818181818,1,1,0.999812909090909
"53",0.999753636363636,0.999811636363636,0.998832181818182,0.999806909090909,1,1,0.999949636363636,1,0.999940727272727,0.958758
"54",1,0.637433818181818,0.698203272727273,1,1,1,0.999818181818182,1,0.758098545454545,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
