index	name	value	std.dev	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	512	513	514	515
502	Extra_Std	1.81E+04	5.90E+03	0.1695	1	0.1971	0.2338	0.2569	0.2926	0.2979	0.3135	0.3325	0.3332	0.3421	0.3302	0.3507	0.342	0.36	0.1695	1	0.1976	0.2344	0.2573	0.2931	0.3006	0.3161	0.3379	0.34	0.3475	0.3404	0.3527	0.3459	0.3554
503	Extra_Std	1.06E+04	3.14E+03	0.1982	0.1971	0.9998	0.3631	0.415	0.4369	0.3838	0.3978	0.4121	0.4049	0.4132	0.3953	0.4198	0.4065	0.4273	0.1982	0.1976	1	0.3645	0.4161	0.4367	0.3877	0.4012	0.4185	0.4127	0.4189	0.4066	0.4205	0.4097	0.4193
504	Extra_Std	4.57E+03	1.25E+03	0.2242	0.234	0.3635	0.9996	0.4494	0.5564	0.4702	0.4752	0.4884	0.4801	0.4865	0.4641	0.4931	0.476	0.4995	0.2242	0.2344	0.3645	1	0.451	0.5562	0.4734	0.4786	0.4951	0.4881	0.4922	0.4762	0.4922	0.4778	0.4882
505	Extra_Std	2.21E+03	7.72E+02	0.2482	0.257	0.4144	0.4463	0.9969	0.5658	0.5644	0.5755	0.5645	0.5589	0.5675	0.5406	0.5748	0.555	0.5824	0.2482	0.2573	0.4161	0.451	1	0.5664	0.5692	0.5783	0.5733	0.5696	0.5746	0.5551	0.5736	0.5574	0.5693
506	Extra_Std	2.53E+03	7.42E+02	0.2893	0.2927	0.4358	0.5546	0.5668	0.9996	0.5795	0.6677	0.6822	0.6658	0.681	0.6491	0.6913	0.6683	0.7011	0.2893	0.2931	0.4367	0.5562	0.5664	1	0.5861	0.6713	0.6911	0.6778	0.6891	0.666	0.6897	0.6704	0.6853
507	Extra_Std	9.89E+02	3.09E+02	0.293	0.3003	0.3866	0.4736	0.5728	0.5832	0.9983	0.6363	0.7359	0.7163	0.7153	0.6785	0.7291	0.7057	0.7409	0.293	0.3006	0.3877	0.4734	0.5692	0.5861	1	0.6469	0.7451	0.728	0.7255	0.6986	0.7277	0.7083	0.7241
508	Extra_Std	5.19E+02	1.86E+02	0.306	0.3158	0.4001	0.4757	0.5717	0.6703	0.6326	0.9968	0.7156	0.7533	0.7701	0.7206	0.7851	0.7577	0.7958	0.306	0.3161	0.4012	0.4786	0.5783	0.6713	0.6469	1	0.7308	0.7675	0.7809	0.7443	0.784	0.7609	0.778
509	Extra_Std	4.33E+02	1.55E+02	0.3286	0.3376	0.4174	0.4935	0.5718	0.6889	0.74	0.724	0.9989	0.8157	0.851	0.8144	0.8661	0.8418	0.8864	0.3286	0.3379	0.4185	0.4951	0.5733	0.6911	0.7451	0.7308	1	0.8347	0.8659	0.8401	0.8699	0.8491	0.8699
510	Extra_Std	1.94E+02	8.12E+01	0.331	0.3397	0.4118	0.4867	0.5672	0.6761	0.7194	0.7566	0.8192	0.9969	0.8436	0.8215	0.884	0.8562	0.9036	0.331	0.34	0.4127	0.4881	0.5696	0.6778	0.728	0.7675	0.8347	1	0.8616	0.852	0.8903	0.8671	0.8906
511	Extra_Std	1.17E+02	6.04E+01	0.3387	0.3473	0.418	0.4909	0.5735	0.6873	0.7181	0.7746	0.8501	0.84	0.997	0.8469	0.9186	0.891	0.9379	0.3387	0.3475	0.4189	0.4922	0.5746	0.6891	0.7255	0.7809	0.8659	0.8616	1	0.8793	0.9283	0.9054	0.9292
512	Extra_Std	5.38E+01	3.30E+01	0.332	0.3402	0.4056	0.4748	0.5535	0.6644	0.6981	0.7456	0.8238	0.8292	0.8622	0.9938	0.8776	0.8831	0.9244	0.332	0.3404	0.4066	0.4762	0.5551	0.666	0.6986	0.7443	0.8401	0.852	0.8793	1	0.8955	0.9002	0.9208
513	Extra_Std	4.40E+01	2.84E+01	0.3442	0.3525	0.4196	0.4909	0.5721	0.6879	0.7199	0.7753	0.8528	0.8667	0.9076	0.8572	0.9941	0.891	0.9661	0.3442	0.3527	0.4205	0.4922	0.5736	0.6897	0.7277	0.784	0.8699	0.8903	0.9283	0.8955	1	0.9163	0.9658
514	Extra_Std	1.70E+01	1.37E+01	0.3377	0.3456	0.4087	0.4765	0.5561	0.6687	0.7009	0.7525	0.8321	0.8457	0.8841	0.8647	0.8945	0.9929	0.938	0.3377	0.3459	0.4097	0.4778	0.5574	0.6704	0.7083	0.7609	0.8491	0.8671	0.9054	0.9002	0.9163	1	0.9457
515	Extra_Std	3.41E+01	3.12E+01	0.3471	0.3551	0.4185	0.4869	0.5679	0.6836	0.717	0.7698	0.852	0.8651	0.9047	0.8802	0.9419	0.9145	0.988	0.3471	0.3554	0.4193	0.4882	0.5693	0.6853	0.7241	0.778	0.8699	0.8906	0.9292	0.9208	0.9658	0.9457	1
