"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.0922734999768489 NA NA NA 0.0589176150740441 NA 0.0497252291433082 0.0746591221659004
"2" NA 0.0972337543154307 NA NA NA 0.0547400304719503 0.0506154330504606 NA
"3" NA NA 0.0643498803092226 NA 0.0563250707583701 0.0510721969343914 0.046889408724556 NA
"4" NA NA NA 0.063251369667385 NA 0.0530227431822582 0.0487145244874476 0.0727206551410373
"5" 0.0888811884073929 NA NA NA 0.0585435273333988 NA 0.0500430176499636 0.0714921514051175
"6" NA 0.0957337008584513 NA NA NA 0.055175499095942 0.0508203862349354 NA
"7" NA NA 0.0613769374352383 NA 0.0551662714745512 0.0512219205134535 0.0469620847621326 NA
"8" NA NA NA 0.0609541113055742 NA 0.0528226067794413 0.0485901032931551 0.0694134562943131
"9" 0.0861569414190173 NA NA NA 0.0569116783098011 NA 0.0497217483710395 0.0687094499123864
"10" NA 0.0956682611376856 NA NA NA 0.0543668613070003 0.0503116527377924 NA
"11" NA NA 0.0586771579407512 NA 0.0533847526772055 0.0502718431158338 0.0463454581451018 0.0658089565989931
"12" NA NA NA 0.0589423586693561 NA 0.0517377678647054 0.047826560869865 0.0673255434303377
"13" 0.0861333722636711 NA NA NA 0.0553097345132743 NA 0.0488692155852681 0.0670405169234716
"14" NA 0.0974281980103909 NA NA NA 0.0531750694562003 0.0493088803702938 NA
"15" NA NA 0.0568972177450814 NA 0.0518447833736034 0.0491357499712612 0.0453286325862503 0.0641033859408454
"16" NA NA NA 0.0575608846918489 NA 0.0506638905630742 0.0467853486130893 0.0656554036287142
"17" 0.0826392111520986 NA NA NA 0.0541385981039143 NA 0.0479213011682274 0.0656083600796748
"18" NA 0.0945682066800936 NA NA NA 0.0523560209424084 0.0483553798046443 0.0673047153683587
"19" NA NA 0.0550778969548076 NA 0.0507588114124186 0.0484469312941073 0.044458392175323 0.062664494297531
"20" NA NA NA 0.0564089170906605 NA 0.0500640353941087 0.0459504374048924 0.0643901322939393
"21" 0.0826215730150345 NA NA NA 0.0531675734004766 NA 0.0471772895638263 0.0647623730612514
"22" NA 0.0967051426371691 NA NA NA 0.0518936319298465 0.0476073690436689 NA
"23" NA NA 0.0539398469988406 NA 0.0499174405619768 0.0480345334313005 0.0437992741834564 0.0626169463556937
"24" NA NA NA 0.0558404939557028 NA 0.0496715087862875 0.0453503537129985 0.0647525920778475
"25" 0.0857486619584978 NA NA NA 0.0526251020117362 NA 0.0466622284088846 0.0654182882379152
"26" NA 0.0990410418046884 NA NA NA 0.0514643671015063 0.0470775643929389 NA
"27" NA NA 0.0540285462217632 NA 0.0493602449502156 0.0475890009921457 0.0432820842813259 0.062972893031954
"28" NA NA NA 0.0556852510195355 NA 0.0492470492470493 0.0448659232891439 0.0651380250046806
"29" 0.08652405698317 NA NA NA 0.0524382072382042 NA 0.0462732728039141 0.0659393594800662
"30" NA 0.0984083627962781 NA NA NA 0.0512779178708917 0.0467644823756357 NA
"31" NA NA 0.0552621454303802 NA 0.0497550181760708 0.0475842095398178 0.0430879929130798 NA
"32" NA NA NA 0.0565577529987455 NA 0.0493995283967317 0.0447531583609156 0.0663220520823174
"33" 0.0851098010728654 NA NA NA 0.0530157540254491 NA 0.0462708699472759 0.0670309101026964
"34" NA 0.0964270340077486 NA NA NA 0.0517565193308003 0.0468774829175274 NA
"35" NA NA 0.0555540407896172 NA 0.0504058735975785 0.0481275631211501 0.0432869973813661 0.0658661731094762
"36" NA NA NA 0.057412468888855 NA 0.0499881684808329 0.045049504950495 0.0684892003345157
"37" 0.0920246588841428 NA NA NA 0.0537364029205782 NA 0.0466365933151672 0.0694376323310434
"38" NA 0.102358445526592 NA NA NA 0.0522422074962309 0.047298050781956 NA
"39" NA NA 0.0578517561983471 NA 0.0511435132268594 0.0484362352619928 0.0436506950507018 NA
"40" NA NA NA 0.0586025912377503 NA 0.0501491590600502 0.0453647384663137 0.070371464639682
"41" 0.091126086325812 NA NA NA 0.0544631397531456 NA 0.0468968149134559 0.0705587666327593
"42" NA 0.0991337610781839 NA NA NA 0.0523481300212499 0.0475809363928282 NA
"43" NA NA 0.0594933808105202 NA 0.052127451619209 0.0486938019935348 0.0439799939894008 0.0685918101378695
"44" NA NA NA 0.0596052522167711 NA 0.0505706637835576 0.0457406323185012 0.0702308491980986
"45" 0.0890024575513852 NA NA NA 0.0552072054921651 NA 0.047248510339993 0.0698603341241706
"46" NA 0.097243443444214 NA NA NA 0.0528789356115126 0.0478937907296779 NA
"47" NA NA 0.0582909105040221 NA 0.0521618992570454 0.0491512396929471 0.0442219309190265 0.066852963591876
"48" NA NA NA 0.0589843236520397 NA 0.0510174835196331 0.046020285325769 0.0686220545443131
"49" 0.0875405670822441 NA NA NA 0.0550111526026917 NA 0.0475317139667009 0.0686071042656467
"50" NA 0.0972143722244651 NA NA NA 0.0531558325071992 0.0482288804871117 NA
"51" NA NA 0.0578531153902638 NA 0.0521070800495017 0.0493425258860218 0.0445735426308791 NA
"52" NA NA NA 0.0586044010906717 NA 0.0510337406809623 0.0462905041911673 0.0686587370660478
"53" 0.0886706986866412 NA NA NA 0.0547545821407619 NA 0.0476730003652866 0.0689464975179261
"54" NA 0.0991087492330252 NA NA NA 0.0528638797053048 0.0482575761683485 NA
"55" NA NA 0.0577050976096397 NA 0.0518067125100166 0.0489798794883541 0.044520765757171 0.0675433797356352
"56" NA NA NA 0.0586864360823972 NA 0.0506454681200381 0.0461829273531812 0.0698579418206623
"57" 0.0916303002242734 NA NA NA 0.0547032727956416 NA 0.0475261140828977 0.0701288032352755
"58" NA 0.100969087386499 NA NA NA 0.0524617668979623 0.0480220562597478 NA
"59" NA NA 0.0583276540617536 NA 0.0516471030370694 0.0485821254990004 0.0442329997837498 0.0678458271424016
"60" NA NA NA 0.0589471075140072 NA 0.0503303796942314 0.0459061388588217 0.069848661233993
"61" 0.0895854340720157 NA NA NA 0.0548112564618274 NA 0.0473162419394544 0.0697604940256203
"62" NA 0.0979187609367437 NA NA NA 0.0524793739899634 0.047916136981479 NA
"63" NA NA 0.0587639013354097 NA 0.0521052453419603 0.0487990453049884 0.0442284855681846 NA
"64" NA NA NA 0.0591276252019386 NA 0.0506795054747203 0.0459552789485432 0.0686196583884673
"65" 0.086313525141167 NA NA NA 0.0549524632040784 NA 0.0473905178915892 0.0682058452409371
"66" NA 0.0956627584504892 NA NA NA 0.0528605253014702 0.0479682769794909 NA
"67" NA NA 0.0569300747642921 NA 0.0516552319283192 0.0490618947192195 0.0442419147900721 0.0649953574744661
"68" NA NA NA 0.0579194427619624 NA 0.0508369705179016 0.0459627900158882 0.0667185588791282
"69" 0.085178405526478 NA NA NA 0.0542443484395991 NA 0.0473772989221665 NA
"70" NA 0.0968684142418753 NA NA NA 0.0527617546098758 0.0479671129309131 NA
"71" NA NA 0.0559683917122449 NA 0.0511049292032632 0.0488829425438564 0.0442520953367142 0.0649751470062701
"72" NA NA NA 0.0573141203566999 NA 0.0505108373913874 0.0459077477124125 0.0671934634198785
"73" 0.0889303147832837 NA NA NA 0.0538035543148971 NA 0.0472664012902368 NA
"74" NA 0.100662855406355 NA NA NA 0.0522607131728703 0.0477980373594771 NA
"75" NA NA 0.0567123065705258 NA 0.0508864797105676 0.0483698761849145 0.044049430237562 0.0666448960006398
"76" NA NA NA 0.0578876418898212 NA 0.0500386150083666 0.0456940440037688 0.0691207608813358
"77" 0.0905815287814506 NA NA NA 0.0541246440203282 NA 0.0471171729696218 NA
"78" NA 0.0999531849437915 NA NA NA 0.0521016725352113 0.0477122000095424 NA
"79" NA NA 0.0583569597969178 NA 0.0515938190604766 0.0483837522751884 0.0440334654337296 NA
"80" NA NA NA 0.0591758505031145 NA 0.050270345273109 0.0457952171921947 NA
"81" 0.0902620927164166 NA NA NA 0.0550473904225818 NA 0.0473209257865921 NA
"82" NA 0.098546592705073 NA NA NA 0.0526478786001858 0.0479793496878943 NA
"83" NA NA 0.0590085820606535 NA 0.0523380270625896 0.0489790667328298 0.0443262411347518 NA
"84" NA NA NA 0.0595306021529918 NA 0.0508808658786207 NA NA
"85" 0.0883540273170443 NA NA NA 0.0552954069941217 NA 0.0475776929181955 0.0691501447213743
"86" NA 0.097051886201906 NA NA NA 0.0530787271839293 0.0482329846088546 NA
"87" NA NA 0.0581757048758364 NA 0.0522081844006722 0.049294016254138 0.0445457591468906 0.0660659073491715
"88" NA NA NA 0.0587156212017838 NA 0.0510865749066756 0.0463136877531172 NA
"89" 0.0854012544143841 NA NA NA 0.0549026408086323 NA 0.0477461851772455 NA
