"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 1 1 0.999909090909091 1 1 0.999909090909091 1 1 1 1
"2" 1 1 0.999545454545455 0.998454545454545 1 1 1 1 1 0.968909090909091
"3" 1 1 1 1 0.982272727272727 1 1 1 1 1
"4" 1 1 0.742090909090909 1 1 NA NA NA NA NA
"5" 1 1 1 1 1 1 1 1 1 1
"6" 1 1 0.971272727272727 1 1 0.999727272727273 1 1 1 0.999454545454545
"7" 1 1 1 1 1 1 1 1 1 0.999363636363636
"8" 1 1 1 0.999090909090909 0.926545454545455 0.999727272727273 1 0.934272727272727 0.995818181818182 1
"9" 1 1 1 1 0.947181818181818 1 1 1 1 1
"10" 1 1 1 1 1 1 1 0.999818181818182 1 1
"11" 1 1 1 0.470818181818182 0.103454545454545 1 1 1 1 0.999818181818182
"12" 1 1 1 1 1 1 0.999181818181818 1 1 1
"13" 1 1 1 1 1 1 0.999272727272727 1 1 1
"14" 1 1 1 1 1 0.999181818181818 0.946363636363636 1 1 0.294363636363636
"15" 1 1 1 1 1 1 1 1 0.959181818181818 0.999818181818182
"16" 1 1 1 0.999727272727273 1 1 1 1 1 0.999636363636364
"17" 1 1 1 1 1 1 1 1 1 0.996909090909091
"18" 1 1 1 1 0 1 1 1 1 0.999818181818182
"19" 1 1 1 1 1 1 0.959363636363636 1 1 1
"20" 1 1 1 1 0.996818181818182 1 1 1 1 1
"21" 1 1 1 1 1 0.999818181818182 1 1 1 1
"22" 1 1 1 0.334454545454545 0.941727272727273 1 1 1 1 1
"23" 1 1 1 1 1 0.999909090909091 1 1 1 0.999545454545455
"24" 1 1 1 1 1 0.980363636363636 1 1 1 1
"25" 1 1 1 1 1 1 1 0.997727272727273 1 1
"26" 1 1 1 1 0.0909090909090909 1 1 1 0.999818181818182 1
"27" 1 1 1 1 1 0.754090909090909 1 1 1 1
"28" 1 1 1 1 1 0.999727272727273 0.999545454545455 0.999090909090909 1 1
"29" 1 1 1 1 1 1 0.996363636363636 1 1 1
"30" 1 1 0.999818181818182 1 1 1 1 1 0.999909090909091 1
"31" 1 1 1 1 0.988181818181818 1 1 0.995272727272727 0.997727272727273 1
"32" 1 1 0.983636363636364 1 1 1 1 1 0.999727272727273 0.606454545454545
"33" 1 1 1 0.999090909090909 1 1 1 0.999727272727273 1 1
"34" 1 1 0.998 1 1 1 1 1 1 1
"35" 1 1 1 1 1 0.979090909090909 1 1 1 1
"36" 1 1 1 0.998454545454545 0.930454545454545 0.972363636363636 1 1 1 0.997818181818182
"37" 1 1 1 1 NA NA NA NA NA NA
"38" 1 1 0.868727272727273 1 1 1 0.999818181818182 1 1 0.999909090909091
"39" 1 1 1 1 1 1 1 1 0.682454545454545 0
"40" 1 1 1 1 1 1 1 1 0.999727272727273 0.960818181818182
"41" 1 1 1 1 1 1 1 1 1 1
"42" 1 1 1 1 1 1 0.338363636363636 1 1 1
"43" 1 1 1 1 1 0.999727272727273 1 0.999545454545455 1 0.727545454545454
"44" 1 1 0.997909090909091 1 1 1 1 1 1 1
"45" 1 1 1 1 1 1 1 0.381272727272727 0.430363636363636 1
"46" 1 1 1 1 1 0.895 1 1 1 1
"47" 1 1 1 1 1 1 0.999727272727273 0.947181818181818 1 1
"48" 1 0.999272727272727 1 1 1 0.797818181818182 1 1 1 1
"49" 1 1 1 1 0.999272727272727 1 1 1 1 1
"50" 1 1 1 1 1 0.999363636363636 1 0.999090909090909 1 1
"51" 1 1 1 0.184909090909091 1 1 0.996272727272727 0.999818181818182 1 1
"52" 1 1 1 1 0.999909090909091 0 1 1 1 0.999909090909091
"53" 1 1 1 1 1 1 1 1 1 0.983636363636364
"54" 1 0.604636363636364 0.736090909090909 1 1 1 1 1 0.839636363636364 NA
"55" 1 1 1 1 0.937545454545455 1 1 1 0.999454545454545 1
