spr
0.738555
0.689272
0.697711
0.640253
0.560271
0.565851
0.45394
0.578386
0.53272
0.464327
0.520069
0.475582
0.60056
0.593151
0.503083
0.611769
0.492834
0.553497
0.514842
0.499289
0.522395
0.51406
0.582784
